"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","BOOKERCD","reason","GDLINEHI","opafy","SENTRNGE"
"40200","6","2017","48","57","8","0","0","0","0","0","NA","0","1","0","0","3","0","44","21","1","7","2 3 4 500","2L1.2",2017,NA
"40201","6","2017","7","1","2","0","0","0","0","0","NA","0","1","0","0","3","0","30","4","1","0","","2L1.2",2017,NA
"40202","10","2016","24","41","0","0","0","0","0","0","NA","0","2","0","0","1","0","38","16","1","5","19","2B1.1",2017,NA
"40203","6","2017","120","121","3","0","0","120","0","0","0","0","1","0","0","3","0","44","12","1","10","2 3","2D1.1",2017,NA
"40204","6","2017","32","30","0","0","0","60","0","0","1","0","2","-4","0","3","0","48","10","0","0","","2D1.1",2017,NA
"40205","6","2017","4.23","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","40","12","1","0","","2L1.2",2017,NA
"40206","6","2017","96","77","22","0","0","0","0","0","NA","0","1","0","0","2","0","43","21","0","0","","2K2.1",2017,NA
"40207","6","2017","7","1","3","0","0","0","0","0","NA","0","1","0","0","3","0","55","0","1","0","","2L1.2",2017,NA
"40208","6","2017","15","15","6","0","0","0","0","0","NA","0","1","0","0","1","0","24","21","0","0","","2K2.1",2017,NA
"40209","6","2017","57","54","4","0","0","24","0","0","NA","0","2","0","0","2","0","42","11","0","0","","2B1.1",2017,NA
"40210","6","2017","12.03","18","5","0","0","0","0","0","NA","0","1","0","0","1","0","62","21","0","10","679 1205","2A3.5",2017,NA
"40211","6","2017","73","97","0","0","0","0","0","0","NA","1","3","0","3","2","0","36","34","1","10","2 61","2B1.1",2017,NA
"40212","6","2017","600","780","2","0","0","180","0","0","NA","0","1","0","0","1","0","35","34","0","10","2 3 4 61","2G2.1",2017,NA
"40213","10","2016","37","37","7","0","0","0","0","0","NA","0","1","0","0","3","0","35","4","1","0","","2L1.2",2017,NA
"40214","6","2017","12.03","15","3","0","0","0","0","0","NA","0","1","0","0","2","0","20","12","0","10","2 3 4 61","2K2.1",2017,NA
