"","SENTMON","SENTYR","SENSPLT0","GLMIN","TOTCHPTS","IS924C","WEAPSOC","STATMIN","CAROFFAP","ACCAP","SAFE","NEWCNVTN","PRESENT","MITROLHI","AGGROLHI","NEWRACE","MONSEX","AGE","EDUCATN","NEWCIT","SENTRNGE","reason","GDLINEHI","opafy"
"95","12","2020","14.2","30","0","0","0","60","0","0","1","0","1","0","0","3","0","33","34","1","2","19","2D1.1",2021
"96","12","2020","4.73","10","5","0","0","0","0","0","NA","0","1","0","0","3","0","33","10","1","3","48","2L1.2",2021
"97","12","2020","15","15","9","0","0","0","0","0","NA","0","1","0","0","3","0","41","9","1","0","","2L1.2",2021
"98","12","2020","12.03","12","1","0","0","0","0","0","NA","0","1","0","0","6","0","21","21","0","0","","2A2.4",2021
"99","12","2020","18","21","7","0","0","0","0","0","NA","0","1","0","0","3","0","51","3","1","8","3 14 61 876","2L1.2",2021
"100","12","2020","3.1","0","0","0","0","0","0","0","NA","0","2","0","0","1","0","52","12","0","0","","2B1.1",2021
"101","12","2020","24","24","9","0","0","0","0","0","NA","0","1","0","0","3","0","44","12","0","0","","2K2.1",2021
"102","12","2020","15","18","0","0","0","0","0","0","NA","0","1","0","0","3","0","50","8","1","3","48","2L1.1",2021
"103","10","2020","12.03","15","3","0","0","0","0","0","NA","0","1","0","0","3","0","28","31","1","8","17 831","2L1.2",2021
"104","12","2020","39","46","0","0","1","0","0","0","NA","0","2","0","0","2","0","30","12","0","2","19 2 3 4 1206 7 11 15 16 17 18 61 673 741 831","2B3.1",2021
"105","12","2020","2.99","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","26","8","1","0","","2L1.2",2021
"106","12","2020","60","60","0","0","0","60","0","0","0","0","1","0","0","1","0","35","34","0","0","","2D1.1",2021
"107","12","2020","102","120","3","0","0","120","0","0","0","0","1","-2","0","3","0","36","32","0","2","19","2D1.1",2021
"108","12","2020","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","43","24","0","0","","2D1.1",2021
"109","12","2020","12.03","18","0","0","0","0","0","0","NA","0","3","0","0","3","0","52","12","0","2","19","2B1.1",2021
"110","12","2020","46","110","13","0","1","60","0","0","0","0","1","0","0","2","0","31","12","0","2","19","2D1.1",2021
"111","12","2020","96","121","7","0","1","0","0","0","0","0","1","0","0","2","0","21","10","0","7","2 3 4 11 60 61 650 1206 673 826","2D1.1",2021
"112","12","2020","3.55","4","3","0","0","0","0","0","NA","0","1","0","0","3","0","45","1","1","0","48","2L1.2",2021
"113","12","2020","120","110","14","0","0","0","0","0","NA","0","1","0","0","1","0","39","34","0","0","","2K2.1",2021
"114","10","2020","57","46","0","0","1","0","0","0","NA","0","1","0","0","6","0","25","32","0","0","","2A2.2",2021
"115","10","2020","18","39","0","0","0","24","0","0","NA","0","2","-2","0","2","1","24","34","0","2","19 2 1206 11 17 61 676 686","2B1.1",2021
"116","12","2020","18","24","5","0","0","0","0","0","NA","0","1","0","0","3","0","36","11","1","3","48","2L1.2",2021
"117","12","2020","87","120","5","0","0","120","0","0","0","0","1","0","0","3","0","47","11","1","2","19 1206 60","2D1.1",2021
"118","12","2020","13.03","18","6","0","0","0","0","0","NA","0","1","0","0","3","0","28","21","0","3","48","2L1.1",2021
"119","12","2020","3.55","0","0","0","0","0","0","0","NA","0","1","0","0","3","0","47","31","1","0","","2L1.2",2021
"120","12","2020","5.09","4","3","0","0","0","0","0","NA","0","3","-2","0","3","0","46","21","0","0","","2L1.1",2021
"121","12","2020","96","46","5","0","0","0","0","0","NA","0","1","0","0","2","0","41","8","0","6","45 60 500","2K2.1",2021
"122","12","2020","37","30","0","0","0","0","0","0","NA","0","1","0","0","6","0","29","12","0","0","","2A1.4",2021
"123","12","2020","96","125","3","1","0","84","0","0","NA","0","1","0","0","2","0","20","12","0","8","2 3 4 1206 7 11 60 62 313 650","2B3.1",2021
"124","12","2020","40","70","0","0","0","120","0","0","1","0","1","-2","0","3","0","29","12","1","3","48 673","2D1.1",2021
"125","12","2020","10","10","4","0","0","0","0","0","NA","0","1","0","0","3","0","60","9","1","0","","2L1.2",2021
"126","10","2020","24","24","8","0","0","0","0","0","NA","0","1","0","0","1","0","40","12","0","0","","2A3.5",2021
"127","12","2020","4.04","0","1","0","0","0","0","0","NA","0","1","0","0","3","0","44","2","1","0","","2L1.2",2021
"128","12","2020","24","24","0","0","0","0","0","0","NA","0","2","0","2","2","0","46","23","0","0","","2T1.4",2021
"129","12","2020","72","121","7","0","0","120","0","0","0","0","1","0","0","3","0","33","12","0","2","19 11 15 17 60 217 673 703 826 871","2D1.1",2021
"130","12","2020","41","41","14","0","0","0","0","0","NA","0","1","0","0","1","0","41","10","0","0","","2K2.1",2021
"131","12","2020","0","4","1","0","0","0","0","0","NA","0","2","0","0","3","1","48","10","0","8","1205","2L2.1",2021
"132","12","2020","120","120","0","0","0","120","0","0","0","0","1","0","0","2","1","33","21","0","0","","2D1.1",2021
